ID	Choice	Relacao	Age	D_Senior	D_Male	Income	D_Wealth	License	QtdVeic	D_Veic	D_TripChain	Destino	D1_CT	D2_EDU	Acess_PNT	Frequence	D1_Turista	D2_Assiduo	D_Fds	D_Quinzenal	D_Mensal	Distance_1	TTime1_1	Cost_1	Distance_2	TTime1_2	Cost_2
166	1	1	20	0	1	10000	1	1	2	1	0	8	1	0	0.78	5	0	1	0	0	0	20.4	0.4	6.81	20	1.77	9.3
167	2	1	33	0	1	5000	0	1	1	0	1	6	0	1	0.1	5	0	1	0	0	0	22.8	0.45	7.62	22.7	2.08	10.5
178	2	1	22	0	1	10000	1	1	1	0	1	8	1	0	1	5	0	1	1	0	0	9.1	0.2	3.04	11	1.1	16.6
184	2	1	32	0	0	1000	0	1	1	0	0	1	0	1	0	4	0	1	0	0	0	36.7	0.7	12.26	55.8	5	29.8
186	1	1	23	0	1	22000	1	1	3	1	1	8	1	0	0.1	4	0	1	0	0	0	27.4	0.45	9.15	27.17	2.25	12.1
187	1	1	25	0	0	5000	0	1	1	0	1	6	0	1	1	5	0	1	0	0	0	9.1	0.2	3.04	11	1.1	16.6
189	1	1	24	0	0	14000	1	1	3	1	0	8	1	0	0	4	0	1	0	0	0	26.2	0.52	8.75	31.4	1.42	7
207	1	1	33	0	1	14000	1	1	1	0	1	2	0	1	1	2	1	0	0	0	0	13.1	0.38	4.38	14.7	1.33	3.8
223	2	1	21	0	0	5000	0	1	1	0	1	6	0	1	0.59	5	0	1	0	0	0	14.7	0.33	4.91	12.3	1.25	3.8
226	2	1	19	0	0	4000	0	1	1	0	0	8	1	0	0.01	4	0	1	0	0	0	21.2	0.45	7.08	21	1.33	7
228	2	1	22	0	0	5000	0	1	1	0	0	2	0	1	0	5	0	1	0	0	0	19.7	0.5	6.58	21.79	2.1	17.8
236	2	1	23	0	0	4000	0	1	1	0	0	1	0	1	0	5	0	1	0	0	0	18.5	0.32	6.18	21.1	1.7	6.7
237	2	1	18	0	0	10000	1	1	1	0	0	6	0	1	0.1	5	0	1	0	0	0	27.4	0.45	9.15	27.17	2.25	12.1
249	2	1	26	0	0	5000	0	1	2	1	1	6	0	1	0	5	0	1	0	0	0	36	0.63	12.02	38.4	3.57	29.9
250	2	1	23	0	0	10000	1	1	2	1	1	2	0	1	0.16	5	0	1	0	0	0	11.8	0.33	3.94	15.7	1.57	9.3
270	2	1	22	0	0	18000	1	1	2	1	0	6	0	1	0	4	0	1	0	0	0	27	0.52	9.02	31.5	2.7	14.2
274	2	1	21	0	0	16000	1	1	1	0	0	8	1	0	1	4	0	1	0	0	0	13.1	0.38	4.38	14.7	1.33	3.8
275	2	1	20	0	1	35000	1	1	3	1	0	1	0	1	0.68	5	0	1	0	0	0	17.9	0.4	5.98	28.1	1.78	3.8
279	2	1	20	0	0	6000	0	1	2	1	0	6	0	1	0.73	5	0	1	0	0	0	11.8	0.25	3.94	12.1	1.12	7
283	2	1	23	0	0	2000	0	1	1	0	0	8	1	0	0.18	4	0	1	0	0	0	43.6	0.78	14.56	42.7	2	7
284	1	1	22	0	1	10000	1	1	1	0	0	8	1	0	0	5	0	1	0	0	0	17.9	0.42	5.98	22.34	1.9	3.8
286	2	1	24	0	0	4000	0	1	1	0	1	6	0	1	0.16	1	1	0	0	0	0	11.8	0.33	3.94	15.7	1.57	9.3
291	1	1	36	0	1	6000	0	1	1	0	1	6	0	1	1	5	0	1	0	0	0	12.9	0.35	4.31	14.6	1.43	18.69
296	1	1	25	0	1	5000	0	1	2	1	0	8	1	0	0	5	0	1	0	0	0	17.6	0.4	5.88	23.71	2.02	3.8
297	2	1	20	0	1	4000	0	1	1	0	0	8	1	0	0.67	5	0	1	1	0	0	21.1	0.4	7.05	21	1.38	7.5
299	2	1	24	0	0	5000	0	1	1	0	0	11	0	0	0	5	0	1	0	0	0	18.5	0.32	6.18	21.1	1.7	6.7
303	1	1	22	0	0	12000	1	1	2	1	0	2	0	1	0	5	0	1	0	0	0	14.2	0.27	4.74	19	1.58	3.8
306	2	1	21	0	0	10000	1	1	1	0	0	2	0	1	0	5	0	1	0	0	0	18.5	0.32	6.18	21.1	1.7	6.7
307	2	1	27	0	1	5000	0	1	1	0	1	8	1	0	0.98	5	0	1	0	0	0	22.3	0.43	7.45	23.7	1.48	7
311	1	1	20	0	0	20000	1	1	3	1	0	2	0	1	0.1	5	0	1	0	0	0	27.4	0.45	9.15	27.17	2.25	12.1
313	2	1	20	0	1	10000	1	1	3	1	0	2	0	1	0.1	5	0	1	0	0	0	22.8	0.45	7.62	22.7	2.08	10.5
320	2	1	22	0	0	7000	0	1	2	1	0	2	0	1	1	5	0	1	0	0	0	13.1	0.38	4.38	14.7	1.33	3.8
321	2	1	19	0	1	7000	0	1	1	0	0	8	1	0	0.1	5	0	1	0	0	0	27.4	0.45	9.15	27.17	2.25	12.1
327	1	1	24	0	0	8000	1	1	2	1	0	8	1	0	0	5	0	1	0	0	0	31.7	0.57	10.59	46.2	2.23	10.7
332	2	1	25	0	0	35000	1	1	2	1	1	6	0	1	0.48	4	0	1	0	0	0	14.2	0.33	4.74	16.26	1.45	3.8
337	1	1	21	0	0	18000	1	1	3	1	0	2	0	1	0.1	5	0	1	0	0	0	27.4	0.45	9.15	27.17	2.25	12.1
341	2	1	23	0	1	4000	0	1	3	1	1	8	1	0	0	4	0	1	0	0	0	18.5	0.32	6.18	21.1	1.7	6.7
343	2	1	25	0	0	3000	0	1	2	1	0	8	1	0	0.94	5	0	1	0	0	0	16.3	0.3	5.44	19.86	1.72	3.8
348	1	1	21	0	0	20000	1	1	3	1	0	9	0	0	1	5	0	1	1	0	0	13.1	0.38	4.38	14.7	1.33	3.8
362	1	1	22	0	1	20000	1	1	3	1	0	8	1	0	0	5	0	1	0	0	0	14.9	0.33	4.98	18.9	1.32	12.4
364	1	1	24	0	0	9000	1	1	1	0	1	8	1	0	0	5	0	1	0	0	0	17.6	0.4	5.88	23.71	2.02	3.8
382	2	1	18	0	1	35000	1	1	2	1	0	8	1	0	1	5	0	1	0	0	0	13.1	0.38	4.38	14.7	1.33	3.8
389	2	1	21	0	0	2000	0	1	1	0	1	6	0	1	0.26	5	0	1	0	0	0	29.2	0.6	9.75	39.2	1.78	10.7
393	2	1	23	0	1	10000	1	1	1	0	0	8	1	0	1	5	0	1	0	0	0	13.1	0.38	4.38	14.7	1.33	3.8
395	1	1	19	0	0	35000	1	1	1	0	0	8	1	0	0	5	0	1	0	0	0	17.6	0.4	5.88	23.71	2.02	3.8
400	2	1	21	0	0	2000	0	1	1	0	0	2	0	1	0	4	0	1	0	0	0	14.9	0.33	4.98	18.9	1.32	12.4
403	1	1	22	0	1	9000	1	1	3	1	1	2	0	1	1	5	0	1	0	0	0	15.3	0.35	5.11	17	1.58	3.8
409	2	1	20	0	0	5000	0	1	1	0	0	1	0	1	0	5	0	1	1	0	0	14.9	0.33	4.98	18.9	1.32	12.4
412	2	1	20	0	1	3000	0	1	2	1	0	2	0	1	0	5	0	1	0	0	0	41.3	0.73	13.79	39.6	1.85	7
424	2	1	31	0	0	5000	0	1	1	0	1	6	0	1	0.37	5	0	1	0	0	0	21	0.42	7.01	22	1.95	10.5
428	2	1	20	0	1	3000	0	1	1	0	0	8	1	0	0	5	0	1	0	0	0	29.4	0.53	9.82	41.5	1.9	10.7
429	2	1	25	0	1	10000	1	1	2	1	1	11	0	0	0.84	5	0	1	0	0	0	9.3	0.23	3.11	9.8	1.02	3.8
435	2	1	53	1	1	6000	0	1	1	0	1	1	0	1	0.58	5	0	1	0	0	0	19.2	0.33	6.41	17.6	1.75	13.8
438	1	1	23	0	1	4000	0	1	3	1	1	8	1	0	0	5	0	1	0	0	0	11.2	0.22	3.74	12.8	0.93	7
442	2	1	19	0	0	10000	1	1	1	0	0	11	0	0	0	5	0	1	0	0	0	17.9	0.42	5.98	22.34	1.9	3.8
450	1	1	48	1	0	6000	0	1	1	0	0	6	0	1	0.18	5	0	1	0	0	0	43.6	0.78	14.56	42.7	2	7
454	2	1	19	0	1	7000	0	1	2	1	0	8	1	0	0.24	5	0	1	1	0	0	27	0.48	9.02	27.5	2.35	3.8
460	1	1	27	0	0	35000	1	1	4	1	1	6	0	1	0.99	2	1	0	0	0	0	13.8	0.4	4.61	17.5	1.83	16.59
464	2	1	25	0	1	10000	1	1	2	1	0	8	1	0	0	5	0	1	0	0	0	14.9	0.32	4.98	17.6	1.72	3.8
468	2	1	30	0	1	2000	0	1	1	0	1	6	0	1	1	5	0	1	0	0	0	10.7	0.23	3.57	12.9	1.28	16.59
472	1	2	28	0	1	12000	1	1	1	0	0	8	1	0	0	1	1	0	0	0	0	14.9	0.32	4.98	17.6	1.72	3.8
474	2	1	22	0	1	2000	0	1	1	0	0	8	1	0	1	5	0	1	1	0	0	11.4	0.3	3.81	13.3	1.28	3.8
493	1	1	20	0	0	10000	1	1	1	0	0	8	1	0	0.68	5	0	1	0	0	0	17.9	0.4	5.98	28.1	1.78	3.8
503	1	1	27	0	0	5000	0	1	1	0	0	8	1	0	1	5	0	1	0	0	0	12.6	0.33	4.21	14.5	1.38	18.69
516	2	1	21	0	0	8000	1	1	1	0	0	8	1	0	1	5	0	1	0	0	0	9.1	0.2	3.04	11	1.1	16.6
520	2	1	42	0	1	4000	0	1	1	0	0	6	0	1	0.99	3	0	0	0	0	0	16.1	0.37	5.38	16	1.23	7.5
527	2	1	19	0	0	9000	1	1	1	0	1	8	1	0	0.78	4	0	1	0	0	0	20.4	0.4	6.81	20	1.77	9.3
528	2	1	23	0	1	7000	0	1	1	0	0	2	0	1	0	5	0	1	0	0	0	18.5	0.32	6.18	21.1	1.7	6.7
529	2	1	20	0	0	20000	1	1	2	1	0	2	0	1	0	5	0	1	0	0	0	19.7	0.5	6.58	21.79	2.1	17.8
537	1	1	20	0	0	4000	0	1	1	0	0	8	1	0	0	5	0	1	0	0	0	13.9	0.28	4.64	24.7	1.55	10.7
538	2	1	23	0	0	4000	0	1	1	0	0	2	0	1	1	5	0	1	0	0	0	13.1	0.38	4.38	14.7	1.33	3.8
541	2	1	20	0	0	10000	1	1	1	0	0	2	0	1	0	2	1	0	0	0	0	17.6	0.4	5.88	23.71	2.02	3.8
542	2	1	20	0	0	10000	1	1	4	1	0	6	0	1	1	2	1	0	1	0	0	11	0.27	3.67	12.9	1.33	16.59
568	2	1	25	0	1	3000	0	1	1	0	1	6	0	1	0	5	0	1	0	0	0	14.9	0.33	4.98	18.9	1.32	12.4
571	2	1	19	0	0	10000	1	1	1	0	0	6	0	1	0.84	5	0	1	0	0	0	9.3	0.23	3.11	9.8	1.02	3.8
573	2	1	22	0	0	4000	0	1	2	1	0	2	0	1	0.99	5	0	1	0	0	0	16.1	0.37	5.38	16	1.23	7.5
577	2	1	21	0	0	4000	0	1	1	0	0	2	0	1	1	5	0	1	0	0	0	9.1	0.2	3.04	11	1.1	16.6
582	2	1	23	0	1	3000	0	1	1	0	1	1	0	1	1	5	0	1	0	0	0	12.6	0.33	4.21	14.5	1.38	18.69
583	2	1	24	0	0	22000	1	1	1	0	0	2	0	1	0	4	0	1	0	0	0	13.5	0.4	4.51	16.4	1.63	3.8
609	1	2	27	0	0	14000	1	1	1	0	0	8	1	0	1	5	0	1	0	0	0	14	0.32	4.68	17.4	1.58	5.4
612	1	2	25	0	0	18000	1	1	2	1	0	8	1	0	0.73	0	1	0	0	1	0	16.2	0.38	5.41	17.3	1.45	3.8
617	2	2	23	0	0	5000	0	1	1	0	0	8	1	0	0	3	0	0	0	0	0	12.3	0.33	4.11	20.7	1.38	7.5
634	1	2	26	0	0	10000	1	1	2	1	1	8	1	0	1	3	0	0	0	0	0	14.1	0.4	4.71	17.6	1.73	16.59
644	2	2	24	0	0	5000	0	1	2	1	1	8	1	0	0	5	0	1	0	0	0	14.9	0.33	4.98	18.9	1.32	12.4
650	1	2	27	0	1	10000	1	1	1	0	0	8	1	0	0	5	0	1	0	0	0	18.5	0.32	6.18	21.1	1.7	6.7
653	2	1	26	0	1	3000	0	1	1	0	0	8	1	0	0.37	5	0	1	0	0	0	18	0.32	6.01	19.9	1.68	3.8
656	1	2	68	1	1	8000	1	1	1	0	0	8	1	0	0	0	1	0	0	1	0	18.5	0.32	6.18	21.1	1.7	6.7
666	2	2	26	0	0	8000	1	1	1	0	0	8	1	0	0.85	4	0	1	0	0	0	18.9	0.43	6.31	20.1	1.45	10.8
671	2	1	19	0	1	8000	1	1	3	1	0	8	1	0	0	5	0	1	0	0	0	53.4	0.77	17.84	55.7	4.45	28.45
673	1	2	47	1	1	18000	1	1	2	1	0	8	1	0	0	2	1	0	0	0	0	18.5	0.32	6.18	21.1	1.7	6.7
675	2	2	28	0	1	20000	1	1	1	0	0	8	1	0	0.68	5	0	1	0	0	0	17.9	0.4	5.98	28.1	1.78	3.8
680	2	2	23	0	0	4000	0	1	1	0	0	8	1	0	0.43	5	0	1	0	0	0	20.4	0.45	6.81	22.2	1.9	3.8
686	1	1	23	0	1	10000	1	1	3	1	1	8	1	0	0.61	4	0	1	0	0	0	28.8	0.53	9.62	25.5	2.43	10.5
688	2	1	24	0	1	35000	1	1	1	0	0	8	1	0	0.68	3	0	0	0	0	0	17.9	0.4	5.98	28.1	1.78	3.8
694	2	1	20	0	1	3000	0	1	1	0	0	8	1	0	0	5	0	1	0	0	0	31.7	0.57	10.59	46.2	2.23	10.7
696	1	1	23	0	1	18000	1	1	3	1	0	8	1	0	1	4	0	1	0	0	0	13.1	0.38	4.38	14.7	1.33	3.8
703	1	1	20	0	1	35000	1	1	4	1	0	8	1	0	0	5	0	1	0	0	0	17.9	0.42	5.98	22.34	1.9	3.8
707	1	1	22	0	1	18000	1	1	2	1	0	8	1	0	0	5	0	1	0	0	0	18.5	0.32	6.18	21.1	1.7	6.7
708	2	1	22	0	1	8000	1	1	1	0	0	8	1	0	0	5	0	1	0	0	0	18.5	0.32	6.18	21.1	1.7	6.7
711	2	1	24	0	0	10000	1	1	2	1	0	8	1	0	0	3	0	0	0	0	0	18.5	0.32	6.18	21.1	1.7	6.7
713	1	1	22	0	1	20000	1	1	3	1	1	8	1	0	0.1	4	0	1	0	0	0	27.4	0.45	9.15	27.17	2.25	12.1
715	1	1	20	0	0	35000	1	1	2	1	0	8	1	0	0	4	0	1	0	0	0	14.9	0.32	4.98	17.6	1.72	3.8
717	1	1	21	0	0	6000	0	1	1	0	0	8	1	0	0.37	5	0	1	0	0	0	14.2	0.33	4.74	15.9	1.38	3.8
720	1	1	22	0	1	20000	1	1	4	1	1	8	1	0	1	5	0	1	0	0	0	9.1	0.2	3.04	11	1.1	16.6
724	1	1	22	0	0	5000	0	1	1	0	1	8	1	0	0.72	4	0	1	0	0	0	12.4	0.25	4.14	21.1	1.37	10.7
734	2	2	27	0	1	24000	1	1	3	1	1	8	1	0	0	1	1	0	0	0	0	36	0.63	12.02	38.4	3.57	29.9
738	2	1	23	0	1	7000	0	1	1	0	1	8	1	0	0.43	3	0	0	0	0	0	20.4	0.45	6.81	22.2	1.9	3.8
739	1	1	22	0	1	22000	1	1	3	1	0	8	1	0	0	5	0	1	0	0	0	18.5	0.32	6.18	21.1	1.7	6.7
742	1	1	23	0	1	20000	1	1	2	1	0	8	1	0	1	5	0	1	0	0	0	13.1	0.38	4.38	14.7	1.33	3.8
743	2	1	19	0	1	30000	1	1	2	1	0	8	1	0	0	5	0	1	0	0	0	19.7	0.5	6.58	21.79	2.1	17.8
748	2	1	23	0	0	35000	1	1	4	1	1	8	1	0	0.37	5	0	1	0	0	0	14.2	0.33	4.74	15.9	1.38	3.8
750	1	1	22	0	1	1000	0	1	4	1	0	8	1	0	0.37	5	0	1	0	0	0	14.2	0.33	4.74	15.9	1.38	3.8
751	1	1	23	0	0	2000	0	1	1	0	0	8	1	0	0	4	0	1	0	0	0	27	0.52	9.02	31.5	2.7	14.2
760	1	2	26	0	1	8000	1	1	1	0	0	8	1	0	0.43	5	0	1	0	0	0	20.4	0.45	6.81	22.2	1.9	3.8
763	1	1	25	0	1	14000	1	1	3	1	1	8	1	0	0	5	0	1	0	0	0	36	0.63	12.02	38.4	3.57	29.9
767	1	1	19	0	1	6000	0	1	3	1	0	8	1	0	0.18	4	0	1	0	0	0	43.6	0.78	14.56	42.7	2	7
780	1	1	27	0	1	18000	1	1	3	1	1	8	1	0	0.1	5	0	1	1	0	0	27.4	0.45	9.15	27.17	2.25	12.1
786	2	1	23	0	0	7000	0	1	1	0	1	6	0	1	0.14	5	0	1	0	0	0	13.3	0.37	4.44	17	1.65	9.3
799	2	1	19	0	0	6000	0	1	1	0	1	2	0	1	0	2	1	0	0	0	0	17.9	0.42	5.98	22.34	1.9	3.8
809	2	1	23	0	0	6000	0	1	2	1	0	11	0	0	0.99	0	1	0	0	0	1	5.8	0.12	1.94	7.7	0.8	3.8
811	2	1	20	0	0	12000	1	1	2	1	0	6	0	1	0	5	0	1	0	0	0	18.5	0.32	6.18	21.1	1.7	6.7
828	2	2	29	0	0	5000	0	1	1	0	0	8	1	0	0	5	0	1	0	0	0	18.5	0.32	6.18	21.1	1.7	6.7
835	1	1	24	0	1	9000	1	1	1	0	1	8	1	0	0	4	0	1	0	0	0	23	0.47	7.68	32	2.85	19.8
840	2	1	21	0	1	18000	1	1	1	0	0	8	1	0	0.73	5	0	1	0	0	0	16.2	0.38	5.41	17.3	1.45	3.8
843	2	1	25	0	0	3000	0	1	2	1	1	6	0	1	0.94	2	1	0	0	0	0	16.3	0.3	5.44	19.86	1.72	3.8
848	2	1	22	0	0	22000	1	1	1	0	0	9	0	0	0	5	0	1	0	0	0	17.6	0.4	5.88	23.71	2.02	3.8
853	2	1	23	0	0	12000	1	1	1	0	0	8	1	0	0.99	4	0	1	0	0	0	7.1	0.17	2.37	10.9	0.93	3.8
861	2	1	21	0	0	3000	0	1	1	0	0	8	1	0	0.58	5	0	1	0	0	0	19.2	0.33	6.41	17.6	1.75	13.8
875	2	1	22	0	1	18000	1	1	1	0	0	8	1	0	0.16	5	0	1	0	0	0	11.8	0.33	3.94	15.7	1.57	9.3
877	1	1	22	0	1	1000	0	1	1	0	0	8	1	0	1	5	0	1	0	0	0	14	0.32	4.68	17.4	1.58	5.4
888	1	1	61	1	0	8000	1	1	1	0	0	6	0	1	0	3	0	0	0	0	0	14.2	0.27	4.74	19	1.58	3.8
889	1	1	19	0	1	7000	0	1	2	1	0	1	0	1	1	4	0	1	0	0	0	9.1	0.2	3.04	11	1.1	16.6
890	1	1	23	0	1	20000	1	1	2	1	0	6	0	1	0	5	0	1	0	0	0	18.5	0.32	6.18	21.1	1.7	6.7
893	2	1	25	0	0	3000	0	1	2	1	0	6	0	1	1	4	0	1	0	0	0	5.1	0.17	1.7	8	0.83	3.8
894	2	1	24	0	0	1000	0	1	1	0	1	8	1	0	1	5	0	1	0	0	0	1	0.07	0.33	1	0.17	0
895	2	1	18	0	0	4000	0	1	1	0	0	1	0	1	0	4	0	1	0	0	0	27	0.52	9.02	31.5	2.7	14.2
897	1	1	22	0	0	35000	1	1	1	0	0	9	0	0	0.48	5	0	1	0	0	0	14.2	0.33	4.74	16.26	1.45	3.8
903	1	1	24	0	1	4000	0	1	1	0	0	8	1	0	0.78	5	0	1	0	0	0	20.4	0.4	6.81	20	1.77	9.3
907	1	1	22	0	1	6000	0	1	2	1	0	1	0	1	0.59	5	0	1	0	0	0	14.7	0.33	4.91	12.3	1.25	3.8
912	1	1	24	0	1	35000	1	1	4	1	0	8	1	0	0.1	5	0	1	0	0	0	27.4	0.45	9.15	27.17	2.25	12.1
930	1	1	23	0	1	20000	1	1	1	0	0	8	1	0	0.37	4	0	1	0	0	0	14.2	0.33	4.74	15.9	1.38	3.8
936	1	1	22	0	1	3000	0	1	2	1	0	1	0	1	1	5	0	1	0	0	0	7.4	0.17	2.47	9	0.83	3.8
941	2	1	24	0	0	8000	1	1	3	1	1	6	0	1	0.1	2	1	0	0	0	0	27.4	0.45	9.15	27.17	2.25	12.1
947	2	1	20	0	0	1000	0	1	1	0	1	2	0	1	0.39	5	0	1	0	0	0	31.2	0.58	10.42	41.1	1.88	10.7
948	1	1	24	0	0	6000	0	1	1	0	0	8	1	0	0	3	0	0	0	0	0	18.5	0.32	6.18	21.1	1.7	6.7
955	2	1	28	0	1	5000	0	1	1	0	0	1	0	1	0	4	0	1	0	0	0	36	0.63	12.02	38.4	3.57	29.9
963	2	1	19	0	1	3000	0	1	2	1	0	1	0	1	1	5	0	1	0	0	0	9.1	0.2	3.04	11	1.1	16.6
968	1	1	23	0	0	20000	1	1	1	0	1	9	0	0	0.37	5	0	1	0	0	0	14.2	0.33	4.74	15.9	1.38	3.8
973	1	1	29	0	1	10000	1	1	1	0	0	8	1	0	0	2	1	0	0	0	0	14.9	0.33	4.98	18.9	1.32	12.4
979	1	1	28	0	0	10000	1	1	2	1	0	2	0	1	0.75	1	1	0	0	0	0	9.9	0.23	3.31	11.96	1.1	3.8
980	2	1	26	0	0	8000	1	1	2	1	1	6	0	1	0.85	3	0	0	0	0	0	18.9	0.43	6.31	20.1	1.45	10.8
982	2	1	25	0	0	3000	0	1	1	0	1	1	0	1	1	5	0	1	0	0	0	4.4	0.15	1.47	4.9	0.57	3.8
986	1	1	26	0	1	20000	1	1	2	1	0	8	1	0	0.24	3	0	0	0	0	0	27	0.48	9.02	27.5	2.35	3.8
991	1	1	25	0	1	30000	1	1	3	1	0	8	1	0	0.68	5	0	1	0	0	0	17.9	0.4	5.98	28.1	1.78	3.8
993	2	1	36	0	0	2000	0	1	1	0	0	6	0	1	0	5	0	1	0	0	0	12.3	0.33	4.11	20.7	1.38	7.5
994	1	1	24	0	1	16000	1	1	1	0	0	8	1	0	0.68	4	0	1	0	0	0	17.9	0.4	5.98	28.1	1.78	3.8
997	1	1	26	0	1	16000	1	1	1	0	0	8	1	0	0	5	0	1	0	0	0	18.5	0.32	6.18	21.1	1.7	6.7
1000	2	1	20	0	1	5000	0	1	1	0	0	8	1	0	0	5	0	1	0	0	0	19.8	0.52	6.61	20.4	1.38	7
1001	1	1	20	0	1	8000	1	1	2	1	0	8	1	0	0	3	0	0	0	0	0	31.7	0.57	10.59	46.2	2.23	10.7
1004	2	1	19	0	0	6000	0	1	2	1	0	1	0	1	0	5	0	1	0	0	0	13.5	0.4	4.51	16.4	1.63	3.8
1005	2	1	25	0	0	7000	0	1	2	1	1	11	0	0	0	3	0	0	0	0	0	27	0.52	9.02	31.5	2.7	14.2
1008	2	1	22	0	0	3000	0	1	1	0	0	2	0	1	0.58	5	0	1	1	0	0	19.2	0.33	6.41	17.6	1.75	13.8
1009	1	1	22	0	0	8000	1	1	1	0	0	8	1	0	1	5	0	1	0	0	0	9.4	0.28	3.14	10.8	1	3.8
1018	2	1	20	0	0	3000	0	1	1	0	0	1	0	1	0	5	0	1	0	0	0	50.3	0.9	16.8	54.8	3.57	21.5
