ID	Choice	Relacao	Age	D_Senior	D_Male	Income	D_Wealth	License	QtdVeic	D_Veic	D_TripChain	Destino	D1_CT	D2_EDU	Frequence	D1_Turista	D2_Assiduo	D_Fds	D_Quinzenal	D_Mensal	Distance_1	TTime1_1	Cost_1	Distance_2	TTime1_2	Cost_2
1497	1	7	50	1	1	10000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	14.7	0.33	4.91	12.3	1.25	3.8
1525	1	7	50	1	0	12000	1	1	1	0	0	6	0	1	5	0	1	0	0	0	16.2	0.38	5.41	17.3	1.45	3.8
1618	1	7	69	1	1	14000	1	1	2	1	0	1	0	1	5	0	1	0	0	0	20.4	0.4	6.81	20	1.77	9.3
1632	1	7	54	1	1	10000	1	1	2	1	0	8	1	0	5	0	1	0	0	0	27.4	0.45	9.15	27.17	2.25	12.1
1898	1	7	34	0	0	10000	1	1	1	0	0	6	0	1	0	1	0	0	0	1	17.9	0.42	5.98	22.34	1.9	3.8
1920	1	7	55	1	0	12000	1	1	2	1	0	1	0	1	5	0	1	0	0	0	27.4	0.45	9.15	27.17	2.25	12.1
2059	1	7	56	1	0	35000	1	1	2	1	0	8	1	0	5	0	1	0	0	0	17.6	0.4	5.88	23.71	2.02	3.8
2104	1	7	63	1	1	28000	1	1	2	1	0	8	1	0	5	0	1	0	0	0	14.9	0.32	4.98	17.6	1.72	3.8
2116	1	7	47	1	1	20000	1	1	2	1	0	8	1	0	5	0	1	0	0	0	13.1	0.38	4.38	14.7	1.33	3.8
2207	1	6	35	0	0	16000	1	1	1	0	0	8	1	0	2	1	0	0	0	0	17.4	0.4	5.81	22.9	1.97	3.8
2226	2	7	27	0	1	4000	0	1	1	0	0	6	0	1	1	1	0	0	0	0	53.4	0.77	17.84	55.7	4.45	28.45
2259	1	7	56	1	0	9000	1	1	1	0	0	8	1	0	3	0	0	0	0	0	13.1	0.38	4.38	14.7	1.33	3.8
2286	1	7	29	0	1	4000	0	1	1	0	0	8	1	0	3	0	0	0	0	0	18.5	0.32	6.18	21.1	1.7	6.7
2316	1	7	42	0	1	20000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	17.9	0.4	5.98	28.1	1.78	3.8
2475	1	7	51	1	0	10000	1	1	1	0	0	11	0	0	3	0	0	1	0	0	27	0.48	9.02	27.5	2.35	3.8
2657	1	7	62	1	0	16000	1	1	1	0	0	2	0	1	5	0	1	0	0	0	13.5	0.4	4.51	16.4	1.63	3.8
2702	1	7	63	1	1	18000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	13.5	0.4	4.51	16.4	1.63	3.8
2760	1	7	29	0	0	2000	0	1	1	0	0	2	0	1	5	0	1	0	0	0	13.1	0.38	4.38	14.7	1.33	3.8
2840	1	7	58	1	1	35000	1	1	1	0	0	11	0	0	5	0	1	0	0	0	17.6	0.4	5.88	23.71	2.02	3.8
3004	2	7	50	1	0	35000	1	1	1	0	1	1	0	1	5	0	1	1	0	0	14.2	0.33	4.74	15.9	1.38	3.8
3064	1	7	33	0	0	8000	1	1	1	0	0	6	0	1	3	0	0	0	0	0	17.9	0.42	5.98	22.34	1.9	3.8
3106	1	7	77	1	1	10000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	17.6	0.4	5.88	23.71	2.02	3.8
3123	1	6	30	0	1	14000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	18.5	0.32	6.18	21.1	1.7	6.7
3155	1	7	52	1	0	26000	1	1	2	1	0	2	0	1	5	0	1	0	0	0	36	0.63	12.02	38.4	3.57	29.9
3195	1	7	45	0	0	16000	1	1	2	1	0	2	0	1	5	0	1	0	0	0	9.9	0.23	3.31	11.96	1.1	3.8
3237	2	7	34	0	1	16000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	7.1	0.17	2.37	10.9	0.93	3.8
3247	1	7	52	1	1	20000	1	1	2	1	0	8	1	0	5	0	1	0	0	0	9.1	0.2	3.04	11	1.1	16.6
3275	1	6	44	0	1	1000	0	1	2	1	0	4	0	0	5	0	1	0	0	0	36	0.63	12.02	38.4	3.57	29.9
3293	1	7	60	1	1	35000	1	1	3	1	0	8	1	0	4	0	1	0	0	0	16.2	0.38	5.41	17.3	1.45	3.8
3325	1	7	53	1	1	8000	1	1	1	0	0	2	0	1	5	0	1	1	0	0	9.1	0.2	3.04	11	1.1	16.6
3332	1	7	37	0	1	8000	1	1	2	1	0	8	1	0	5	0	1	0	0	0	9.1	0.2	3.04	11	1.1	16.6
3351	1	7	40	0	0	10000	1	1	2	1	0	8	1	0	5	0	1	0	0	0	15.9	0.35	5.31	21.8	1.87	3.8
3446	1	6	30	0	1	7000	0	1	1	0	0	8	1	0	4	0	1	0	0	0	18.5	0.32	6.18	21.1	1.7	6.7
3448	1	6	27	0	0	9000	1	1	2	1	0	8	1	0	4	0	1	0	0	0	43.6	0.78	14.56	42.7	2	7
3482	1	7	58	1	1	14000	1	1	2	1	0	8	1	0	5	0	1	0	0	0	18.1	0.37	6.05	18.7	1.8	3.8
3535	1	7	34	0	0	14000	1	1	3	1	1	2	0	1	5	0	1	1	1	0	28.1	0.6	9.39	38.7	1.87	10.7
3564	2	7	55	1	0	12000	1	1	1	0	0	2	0	1	5	0	1	0	0	0	18.5	0.32	6.18	21.1	1.7	6.7
3572	1	6	32	0	1	22000	1	1	2	1	0	8	1	0	2	1	0	0	0	0	31.7	0.57	10.59	46.2	2.23	10.7
3592	2	6	47	1	0	6000	0	1	1	0	1	2	0	1	5	0	1	0	0	0	7.1	0.17	2.37	10.9	0.93	3.8
3632	1	7	72	1	1	16000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	17.9	0.4	5.98	28.1	1.78	3.8
3648	1	7	31	0	0	14000	1	1	2	1	0	8	1	0	5	0	1	0	0	0	16.2	0.38	5.41	17.3	1.45	3.8
3662	1	7	60	1	0	10000	1	1	1	0	0	8	1	0	3	0	0	0	0	0	13.1	0.38	4.38	14.7	1.33	3.8
3665	1	7	36	0	0	12000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	18.5	0.32	6.18	21.1	1.7	6.7
3671	1	6	33	0	1	4000	0	1	2	1	0	2	0	1	3	0	0	0	0	0	17.9	0.4	5.98	28.1	1.78	3.8
3682	1	7	56	1	1	18000	1	1	3	1	0	8	1	0	5	0	1	0	0	0	15.9	0.35	5.31	21.8	1.87	3.8
3686	1	7	31	0	1	8000	1	1	1	0	0	11	0	0	3	0	0	0	0	0	9.3	0.23	3.11	9.8	1.02	3.8
3696	1	7	36	0	0	16000	1	1	2	1	0	8	1	0	5	0	1	0	0	0	20.4	0.4	6.81	20	1.77	9.3
3703	1	6	24	0	0	7000	0	1	1	0	1	8	1	0	5	0	1	0	0	0	31.2	0.58	10.42	41.1	1.88	10.7
3704	1	6	61	1	1	22000	1	1	2	1	0	8	1	0	5	0	1	0	0	0	13.1	0.38	4.38	14.7	1.33	3.8
3706	1	7	53	1	0	8000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	14.2	0.3	4.74	15.8	1.37	3.8
3714	1	7	35	0	1	10000	1	1	1	0	0	8	1	0	3	0	0	0	0	0	13.1	0.38	4.38	14.7	1.33	3.8
3772	1	7	50	1	1	18000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	17.9	0.4	5.98	28.1	1.78	3.8
3814	1	7	63	1	1	14000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	18.5	0.32	6.18	21.1	1.7	6.7
3822	1	7	59	1	1	26000	1	1	3	1	0	8	1	0	5	0	1	0	0	0	17.4	0.4	5.81	22.9	1.97	3.8
3827	1	7	58	1	0	12000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	27.4	0.45	9.15	27.17	2.25	12.1
3834	2	7	55	1	1	12000	1	1	1	0	0	9	0	0	4	0	1	0	0	0	15.9	0.35	5.31	21.8	1.87	3.8
3851	1	7	39	0	0	22000	1	1	1	0	0	2	0	1	5	0	1	0	0	0	17.6	0.4	5.88	23.71	2.02	3.8
3886	1	7	62	1	1	10000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	14.2	0.27	4.74	19	1.58	3.8
3887	1	6	32	0	1	14000	1	1	1	0	1	9	0	0	2	1	0	0	0	0	36	0.63	12.02	38.4	3.57	29.9
3894	1	7	45	0	1	1000	0	1	1	0	0	2	0	1	5	0	1	0	0	0	14.2	0.3	4.74	15.8	1.37	3.8
3922	1	7	63	1	1	16000	1	1	1	0	0	1	0	1	5	0	1	0	0	0	13.1	0.38	4.38	14.7	1.33	3.8
3973	1	7	60	1	0	35000	1	1	2	1	0	8	1	0	2	1	0	0	0	0	14.9	0.32	4.98	17.6	1.72	3.8
3982	1	6	37	0	1	14000	1	1	2	1	0	2	0	1	5	0	1	0	0	0	9.1	0.2	3.04	11	1.1	16.6
4006	1	7	40	0	0	16000	1	1	2	1	0	2	0	1	5	0	1	0	0	0	20.4	0.4	6.81	20	1.77	9.3
4040	1	7	57	1	0	10000	1	1	2	1	0	2	0	1	5	0	1	0	0	0	12.4	0.25	4.14	21.1	1.37	10.7
4047	1	7	40	0	1	1000	0	1	4	1	0	2	0	1	5	0	1	0	0	0	14.2	0.3	4.74	15.8	1.37	3.8
4049	1	7	50	1	0	20000	1	1	2	1	0	2	0	1	5	0	1	0	0	0	16.2	0.38	5.41	17.3	1.45	3.8
4117	1	7	63	1	1	1000	0	1	2	1	0	8	1	0	1	1	0	0	0	0	13.1	0.38	4.38	14.7	1.33	3.8
4134	1	7	58	1	1	16000	1	1	1	0	0	8	1	0	3	0	0	0	0	0	17.4	0.4	5.81	22.9	1.97	3.8
4156	1	7	35	0	1	8000	1	1	1	0	0	2	0	1	5	0	1	0	0	0	18.1	0.37	6.05	18.7	1.8	3.8
4195	1	7	36	0	0	22000	1	1	2	1	1	8	1	0	5	0	1	0	0	0	15.9	0.35	5.31	21.8	1.87	3.8
4227	1	7	50	1	0	8000	1	1	1	0	1	2	0	1	4	0	1	0	0	0	9.1	0.2	3.04	11	1.1	16.6
4228	2	6	29	0	1	8000	1	1	1	0	1	2	0	1	5	0	1	0	0	0	14.9	0.33	4.98	18.9	1.32	12.4
4256	1	7	53	1	1	22000	1	1	2	1	0	8	1	0	5	0	1	0	0	0	20.4	0.4	6.81	20	1.77	9.3
4315	1	7	63	1	0	16000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	14.9	0.32	4.98	17.6	1.72	3.8
4340	1	7	46	1	1	6000	0	1	1	0	0	6	0	1	2	1	0	0	0	0	14.2	0.27	4.74	19	1.58	3.8
4373	1	7	38	0	0	8000	1	1	1	0	0	1	0	1	4	0	1	0	0	0	14.9	0.33	4.98	18.9	1.32	12.4
4421	1	7	53	1	1	10000	1	1	1	0	0	8	1	0	4	0	1	0	0	0	18.5	0.32	6.18	21.1	1.7	6.7
4482	1	7	50	1	1	12000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	16.2	0.38	5.41	17.3	1.45	3.8
4492	1	7	81	1	1	18000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	17.9	0.42	5.98	22.34	1.9	3.8
4493	1	7	53	1	1	16000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	12.6	0.27	4.21	12.5	1.17	3.8
4576	1	6	35	0	0	8000	1	1	1	0	0	2	0	1	5	0	1	0	0	0	31.7	0.57	10.59	46.2	2.23	10.7
4597	1	7	65	1	1	18000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	13.1	0.38	4.38	14.7	1.33	3.8
4610	1	7	35	0	1	12000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	16.2	0.38	5.41	17.3	1.45	3.8
4616	2	6	61	1	1	5000	0	1	1	0	0	8	1	0	5	0	1	0	0	0	16.2	0.38	5.41	17.3	1.45	3.8
4626	1	7	39	0	0	12000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	9.1	0.2	3.04	11	1.1	16.6
4634	1	6	38	0	1	14000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	13.1	0.38	4.38	14.7	1.33	3.8
4635	1	7	39	0	0	18000	1	1	2	1	0	2	0	1	5	0	1	0	0	0	16.2	0.38	5.41	17.3	1.45	3.8
4641	1	6	35	0	0	18000	1	1	1	0	0	2	0	1	2	1	0	0	0	0	17.4	0.4	5.81	22.9	1.97	3.8
4665	1	6	37	0	1	14000	1	1	2	1	1	8	1	0	5	0	1	0	0	0	9.4	0.28	3.14	10.8	1	3.8
4681	2	7	64	1	1	14000	1	1	1	0	1	8	1	0	4	0	1	0	0	0	14.8	0.3	4.94	15.4	1.22	7
4687	1	7	32	0	1	9000	1	1	1	0	0	8	1	0	4	0	1	0	0	0	17.9	0.42	5.98	22.34	1.9	3.8
4689	1	7	32	0	0	12000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	16.2	0.38	5.41	17.3	1.45	3.8
4694	1	7	45	0	0	9000	1	1	1	0	0	6	0	1	3	0	0	0	0	0	14.3	0.42	4.78	18.74	1.38	3.8
